current_time,race_time,venue,horse_name,exp_value,exp_growth,exp_return,bookie_stake,bookie_odds,win_stake,win_odds,place_stake,place_odds,bookie_balance,betfair_balance,betfair_exposure,win_profit,place_profit,lose_profit,bet_type,place_payout,places_paid,position
2021-06-15 16:32:35.531734,2021-06-15 18:20:00,Brighton,Nordic Glory,2.4511761194553325e-06,2.177314330831237e-06,0.0016322236881076,0.1,21.0,0,22.0,0,4.7,158.32,590.29,0.0,2.4,0.3,-0.2,Punt,5.0,3.0,4.0
2021-06-15 17:32:02.560670,2021-06-15 20:40:00,Beverley,Love Your Work,8.035202797398432e-06,7.283506262334427e-06,0.0054484268595392,0.38,4.33,0,4.3,0,1.82,157.56,590.29,0.0,1.58,-0.06,-0.76,Punt,4.0,3.0,7.0
2021-06-15 18:37:48.367743,2021-06-15 20:00:00,Sligo,Ballinlough Gale,8.281652809947474e-05,7.410556628650866e-05,0.0552716366147924,1.48,4.0,0,4.2,0,1.47,154.6,590.29,0.0,5.33,-0.59,-2.96,Punt,5.0,3.0,2.0
2021-06-16 10:22:27.736119,2021-06-16 13:45:00,Uttoxeter,Lostnfound,1.3265996041194355e-05,1.20030011998562e-05,0.009008492460516,0.23,17.0,0,16.0,0,4.3,156.51,590.29,0.0,4.42,0.51,-0.46,Punt,5.0,3.0,10.0
2021-06-16 18:37:48.503882,2021-06-16 18:45:00,Navan,Story Rory,4.934701991041699e-05,4.422578654295073e-05,0.0329782845093475,0.79,6.5,0,6.8,0,2.18,154.93,590.29,0.0,5.43,0.3,-1.58,Punt,4.0,4.0,6.0
2021-06-17 09:33:19.811743,2021-06-17 17:00:00,Royal Ascot,Longlai,1.640947328939611e-05,1.4614920740729788e-05,0.0109103306313696,0.14,67.0,0,80.0,0,14.0,154.65,590.29,0.0,11.55,2.17,-0.28,Punt,4.0,4.0,19.0
2021-06-17 11:29:39.729836,2021-06-17 17:00:00,Royal Ascot,George Peabody,8.30599277378628e-05,7.479381280739439e-05,0.0556660431200313,0.48,23.0,0,22.0,0,6.0,153.69,590.29,0.0,13.2,2.16,-0.96,Punt,4.0,4.0,16.0
2021-06-17 13:47:12.883601,2021-06-17 15:05:00,Royal Ascot,Notre Belle Bete,1.1799930453280956e-05,1.056348173600341e-05,0.0078693713540531,0.13,51.0,0,50.0,0,10.5,153.43,590.29,0.0,7.8,1.17,-0.26,Punt,5.0,3.0,9.0
2021-06-18 10:11:24.514918,2021-06-18 13:30:00,Redcar,Southern Voyage,1.5020266150149146e-05,1.3490614613642649e-05,0.0100294625283664,0.89,2.38,0,2.4,0,1.25,151.65,590.29,0.0,1.47,-0.64,-1.78,Punt,5.0,3.0,1.0
2021-06-19 10:24:47.139805,2021-06-19 13:30:00,Perth,Schmidt,3.131615004024104e-06,2.801982431410721e-06,0.0020918760238183,0.2,6.5,0,6.2,0,2.18,154.5,590.29,0.0,1.32,0.02,-0.4,Punt,5.0,3.0,2.0
2021-06-19 10:41:42.393665,2021-06-19 15:20:00,Newmarket,Komachi,2.09041668509135e-05,1.8829187236502065e-05,0.0140136226007666,0.47,8.0,0,8.6,0,2.18,153.56,590.29,0.0,3.95,0.19,-0.94,Punt,5.0,3.0,2.0
2021-06-19 13:08:06.240008,2021-06-19 13:20:00,Redcar,Rollajam,8.262747094869794e-06,7.480214123667395e-06,0.0055710390728837,0.21,15.0,0,17.5,0,3.25,153.14,590.29,0.0,3.53,0.38,-0.42,Punt,5.0,3.0,5.0
2021-06-19 14:20:57.966193,2021-06-19 14:30:00,Royal Ascot,Out In Yorkshire,1.5504777409539296e-05,1.3875970017673822e-05,0.0103416216944721,0.16,51.0,0,60.0,0,9.0,153.24,590.29,0.0,9.6,1.44,-0.32,Punt,5.0,3.0,8.0
2021-06-19 17:34:22.412721,2021-06-19 19:20:00,Lingfield,Red Genesis,2.7309184695472087e-05,2.439364316875192e-05,0.0181805822536708,0.31,21.0,0,22.0,0,5.4,153.75,590.29,0.0,7.75,1.24,-0.62,Punt,4.0,2.0,
